Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Grassland: All,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Agriculture: Orchard,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Agriculture: Vineyard,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Wetland: Woody,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Wetland: Herbaceous,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Western White Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Western Larch Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Redwood Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Western Oak Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Low Sagebrush,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Salt Desert Scrub,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Creosotebush,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Succulent,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Blackbrush,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Big Sagebrush,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Deciduous Shrub,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Sand Shrubland,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Mesquite,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Chaparral,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Grassland and Steppe,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Greasewood,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Pocosin,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Shrubland: Pinyon Juniper Shrubland,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Grassland: All,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Orchard,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Vineyard,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Wetland: Woody,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Wetland: Herbaceous,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Western White Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Western Larch Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Redwood Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Western Oak Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Low Sagebrush,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Salt Desert Scrub,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Creosotebush,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Succulent,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Blackbrush,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Big Sagebrush,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Deciduous Shrub,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Sand Shrubland,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Mesquite,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Chaparral,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Grassland and Steppe,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Greasewood,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Pocosin,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Shrubland: Pinyon Juniper Shrubland,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Grassland: All,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Orchard,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Vineyard,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Wetland: Woody,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Wetland: Herbaceous,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Western White Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Western Larch Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Redwood Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Western Oak Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Low Sagebrush,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Salt Desert Scrub,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Creosotebush,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Succulent,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Blackbrush,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Big Sagebrush,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Deciduous Shrub,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Sand Shrubland,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Mesquite,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Chaparral,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Grassland and Steppe,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Greasewood,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Pocosin,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Shrubland: Pinyon Juniper Shrubland,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Grassland: All,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Orchard,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Vineyard,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Wetland: Woody,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Wetland: Herbaceous,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: White/Red/Jack Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Spruce/Fir Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Longleaf/Slash Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Pinyon/Juniper Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Douglas-fir Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Ponderosa Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Western White Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Lodgepole Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Western Larch Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Redwood Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Other Western Softwood Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Exotic Softwoods Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Oak/Pine Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Oak/Hickory Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Oak/Gum/Cypress Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Maple/Beech/Birch Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Western Oak Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Tanoak/Laurel Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Other Western Hardwoods Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Tropical Hardwoods Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Exotic Hardwoods Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Low Sagebrush,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Desert Scrub,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Salt Desert Scrub,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Creosotebush,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Succulent,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Blackbrush,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Big Sagebrush,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Deciduous Shrub,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Pacific Coastal Shrub,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Sand Shrubland,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Mesquite,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Chaparral,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Grassland and Steppe,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Greasewood,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Pocosin,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Shrubland: Pinyon Juniper Shrubland,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
