SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax
Orange,Intensification: Low to High,Intensification,2001,2016,40,Normal,Iteration and Timestep,40,0,80
Orange,Intensification: Medium to High,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Placer,Intensification: Open to Low,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Placer,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Placer,Intensification: Open to High,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Placer,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Placer,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Placer,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Plumas,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Riverside,Intensification: Open to Low,Intensification,2001,2016,33.333333333333336,Normal,Iteration and Timestep,41.63331998932266,0,80
Riverside,Intensification: Open to Medium,Intensification,2001,2016,206.66666666666669,Normal,Iteration and Timestep,92.37604307034012,100,260
Riverside,Intensification: Open to High,Intensification,2001,2016,60,Normal,Iteration and Timestep,40,20,100
Riverside,Intensification: Low to Medium,Intensification,2001,2016,80,Normal,Iteration and Timestep,80,0,160
Riverside,Intensification: Low to High,Intensification,2001,2016,40,Normal,Iteration and Timestep,40,0,80
Riverside,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Sacramento,Intensification: Open to Low,Intensification,2001,2016,33.333333333333336,Normal,Iteration and Timestep,11.547005383792515,20,40
Sacramento,Intensification: Open to Medium,Intensification,2001,2016,126.66666666666666,Normal,Iteration and Timestep,23.09401076758503,100,140
Sacramento,Intensification: Open to High,Intensification,2001,2016,33.333333333333336,Normal,Iteration and Timestep,30.550504633038933,0,60
Sacramento,Intensification: Low to Medium,Intensification,2001,2016,26.666666666666664,Normal,Iteration and Timestep,30.550504633038933,0,60
Sacramento,Intensification: Low to High,Intensification,2001,2016,26.666666666666664,Normal,Iteration and Timestep,30.550504633038933,0,60
Sacramento,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Benito,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Benito,Intensification: Open to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Benito,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Benito,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Benito,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Benito,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Bernardino,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Bernardino,Intensification: Open to Medium,Intensification,2001,2016,146.66666666666666,Normal,Iteration and Timestep,46.18802153517006,120,200
San Bernardino,Intensification: Open to High,Intensification,2001,2016,53.33333333333333,Normal,Iteration and Timestep,41.63331998932266,20,100
San Bernardino,Intensification: Low to Medium,Intensification,2001,2016,53.33333333333333,Normal,Iteration and Timestep,61.10100926607787,0,120
San Bernardino,Intensification: Low to High,Intensification,2001,2016,46.66666666666667,Normal,Iteration and Timestep,64.29100507328637,0,120
San Bernardino,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Diego,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Diego,Intensification: Open to Medium,Intensification,2001,2016,80,Normal,Iteration and Timestep,52.91502622129182,40,140
San Diego,Intensification: Open to High,Intensification,2001,2016,26.666666666666664,Normal,Iteration and Timestep,11.547005383792515,20,40
San Diego,Intensification: Low to Medium,Intensification,2001,2016,46.66666666666667,Normal,Iteration and Timestep,64.29100507328637,0,120
San Diego,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
San Diego,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Francisco,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Francisco,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
San Francisco,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Francisco,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Francisco,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
San Francisco,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Joaquin,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Joaquin,Intensification: Open to Medium,Intensification,2001,2016,60,Normal,Iteration and Timestep,0,60,60
San Joaquin,Intensification: Open to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
San Joaquin,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Joaquin,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Joaquin,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Luis Obispo,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Luis Obispo,Intensification: Open to Medium,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
San Luis Obispo,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Luis Obispo,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Luis Obispo,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
San Luis Obispo,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Mateo,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Mateo,Intensification: Open to Medium,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
San Mateo,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
San Mateo,Intensification: Low to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,34.64101615137754,0,60
San Mateo,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
San Mateo,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Barbara,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Barbara,Intensification: Open to Medium,Intensification,2001,2016,33.333333333333336,Normal,Iteration and Timestep,23.09401076758503,20,60
Santa Barbara,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Barbara,Intensification: Low to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Santa Barbara,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
Santa Barbara,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Clara,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Clara,Intensification: Open to Medium,Intensification,2001,2016,53.33333333333333,Normal,Iteration and Timestep,30.550504633038933,20,80
Santa Clara,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Santa Clara,Intensification: Low to Medium,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
Santa Clara,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Clara,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Cruz,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Cruz,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Cruz,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Santa Cruz,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Santa Cruz,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Santa Cruz,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Shasta,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Shasta,Intensification: Open to Medium,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
Shasta,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Shasta,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Shasta,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Shasta,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Sierra Valley,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sierra Valley,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sierra Valley,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sierra Valley,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sierra Valley,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sierra Valley,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Siskiyou,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Siskiyou,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Siskiyou,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Siskiyou,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Siskiyou,Intensification: Low to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
Siskiyou,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Solano,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Solano,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Solano,Intensification: Open to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
Solano,Intensification: Low to Medium,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,11.547005383792515,0,20
Solano,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Solano,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sonoma,Intensification: Open to Low,Intensification,2001,2016,26.666666666666664,Normal,Iteration and Timestep,11.547005383792515,20,40
Sonoma,Intensification: Open to Medium,Intensification,2001,2016,40,Normal,Iteration and Timestep,20,20,60
Sonoma,Intensification: Open to High,Intensification,2001,2016,13.333333333333332,Normal,Iteration and Timestep,23.09401076758503,0,40
Sonoma,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sonoma,Intensification: Low to High,Intensification,2001,2016,26.666666666666664,Normal,Iteration and Timestep,30.550504633038933,0,60
Sonoma,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Stanislaus,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Stanislaus,Intensification: Open to Medium,Intensification,2001,2016,46.66666666666667,Normal,Iteration and Timestep,41.63331998932266,0,80
Stanislaus,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Stanislaus,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Stanislaus,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Stanislaus,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sutter,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Sutter,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sutter,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sutter,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sutter,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Sutter,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Tehama,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tehama,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tehama,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tehama,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tehama,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tehama,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Trinity,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Trinity,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Trinity,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Trinity,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Trinity,Intensification: Low to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Trinity,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tulare,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tulare,Intensification: Open to Medium,Intensification,2001,2016,20,Normal,Iteration and Timestep,20,0,40
Tulare,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Tulare,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Tulare,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tulare,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Tuolumne,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Ventura,Intensification: Open to Low,Intensification,2001,2016,20,Normal,Iteration and Timestep,0,20,20
Ventura,Intensification: Open to Medium,Intensification,2001,2016,53.33333333333333,Normal,Iteration and Timestep,30.550504633038933,20,80
Ventura,Intensification: Open to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Ventura,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Ventura,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Ventura,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yolo,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Yuba,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
