county,class,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Alameda, Prime Farmland,"9,809","9,195","8,723","8,485","8,107","7,976","7,551","7,560","6,926","6,328","5,383","4,724","3,958","3,953","3,690","3,433","3,392"
Alameda, Farmland of Statewide Importance,"1,870","1,862","1,831","1,823","1,777","1,754","1,516","1,358","1,532","1,485","1,505","1,390","1,290","1,228","1,129","1,109","1,127"
Alameda, Unique Farmland,"1,190","1,339","1,434","1,437","1,459","1,435","1,402","1,599","1,888","2,100","2,377","2,323","2,441","2,383","2,380","2,259","2,153"
Alameda, Farmland of Local Importance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,Important Farmland Subtotal,"12,869","12,396","11,988","11,745","11,343","11,165","10,469","10,517","10,346","9,913","9,265","8,437","7,689","7,564","7,199","6,801","6,672"
Alameda, Grazing Land ,"257,238","256,838","255,306","254,826","252,215","251,712","250,276","248,354","247,218","245,728","244,975","244,948","244,252","244,033","243,518","241,169","240,986"
Alameda,Agricultural Land Subtotal,"270,107","269,234","267,294","266,571","263,558","262,877","260,745","258,871","257,564","255,641","254,240","253,385","251,941","251,597","250,717","247,970","247,658"
Alameda, Urban and Built-Up Land,"126,841","128,026","131,717","133,028","135,130","135,596","138,060","139,998","141,549","143,598","144,326","145,431","146,075","146,265","146,978","147,888","148,101"
Alameda, Other Land,"75,615","75,303","73,551","72,963","73,875","74,090","73,758","73,940","73,706","73,580","73,027","72,776","73,522","73,596","73,763","75,496","76,342"
Alameda, Water Area ,"52,776","52,775","52,775","52,775","52,775","52,775","52,775","52,528","52,519","52,519","53,743","53,743","53,799","53,881","53,881","53,979","53,234"
Alameda,Total Area Inventoried ,"525,339","525,338","525,337","525,337","525,338","525,338","525,338","525,337","525,338","525,338","525,336","525,335","525,337","525,339","525,339","525,333","525,335"
Amador, Prime Farmland,"3,623","3,533","3,610","3,664","3,664","3,629","3,578","3,765","3,872","3,828","3,831","3,609","3,541","3,210","3,200","2,979","2,822"
Amador, Farmland of Statewide Importance,"1,509","1,509","1,530","1,540","1,540","1,510","1,510","1,739","1,849","1,814","1,849","1,716","1,573","1,421","1,424","1,447","1,419"
Amador, Unique Farmland,"2,297","2,386","2,512","2,735","2,735","2,698","2,752","2,773","3,054","3,189","3,755","3,598","3,678","3,337","3,311","3,438","3,397"
Amador, Farmland of Local Importance,"3,954","3,954","3,897","3,827","3,827","3,738","3,738","2,957","2,789","2,251","1,255","1,272","1,485","1,864","1,899","2,232","2,299"
Amador,Important Farmland Subtotal,"11,383","11,382","11,549","11,766","11,766","11,575","11,578","11,234","11,564","11,082","10,690","10,195","10,277","9,832","9,834","10,096","9,937"
Amador, Grazing Land ,"193,236","193,112","192,619","191,809","191,714","191,445","191,371","191,370","190,793","191,039","188,218","188,569","188,115","188,432","188,398","188,071","188,115"
Amador,Agricultural Land Subtotal,"204,619","204,494","204,168","203,575","203,480","203,020","202,949","202,604","202,357","202,121","198,908","198,764","198,392","198,264","198,232","198,167","198,052"
Amador, Urban and Built-Up Land,"6,065","6,093","6,190","6,466","6,636","7,141","7,202","7,312","7,364","7,368","7,926","8,095","8,195","8,295","8,312","8,327","8,791"
Amador, Other Land,"84,518","84,613","84,796","85,112","85,038","84,993","85,003","85,136","85,330","85,562","88,215","88,192","88,463","88,491","88,506","88,557","88,275"
Amador, Water Area ,"5,173","5,173","5,221","5,221","5,221","5,221","5,221","5,323","5,323","5,323","5,323","5,323","5,323","5,323","5,323","5,323","5,253"
Amador,Total Area Inventoried,"300,375","300,373","300,375","300,374","300,375","300,375","300,375","300,375","300,374","300,374","300,372","300,374","300,373","300,373","300,373","300,374","300,371"
Butte, Prime Farmland,,,,,,,,,,,"197,557","196,217","194,689","193,289","192,643","192,293","192,561"
Butte, Farmland of Statewide Importance,,,,,,,,,,,"22,323","21,602","22,794","21,872","21,699","21,575","21,598"
Butte, Unique Farmland,,,,,,,,,,,"24,957","24,236","23,078","22,189","22,044","22,430","23,279"
Butte, Farmland of Local Importance ,,,,,,,,,,,0,0,0,0,0,0,0
Butte,Important Farmland Subtotal,,,,,,,,,,,"244,837","242,055","240,561","237,350","236,386","236,298","237,438"
Butte, Grazing Land ,,,,,,,,,,,"406,401","407,680","401,859","402,999","403,741","401,751","400,165"
Butte,Agricultural Land Subtotal,,,,,,,,,,,"651,238","649,735","642,420","640,349","640,127","638,049","637,603"
Butte, Urban and Built-Up Land,,,,,,,,,,,"43,820","44,804","45,350","45,913","46,030","46,329","46,647"
Butte, Other Land,,,,,,,,,,,"355,572","355,895","362,624","364,131","364,219","366,013","365,964"
Butte, Water Area,,,,,,,,,,,"22,624","22,818","22,858","22,859","22,876","22,873","23,050"
Butte,Total Area Inventoried,,,,,,,,,,,"1,073,254","1,073,252","1,073,252","1,073,252","1,073,252","1,073,264","1,073,264"
Colusa, Prime Farmland,,,,,,,,"201,910","202,231","201,346","201,642","200,183","197,497","196,320","196,830","196,404","199,521"
Colusa, Farmland of Statewide Importance,,,,,,,,"1,746","1,810","1,826","2,153","2,169","2,012","2,047","2,191","2,465","2,859"
Colusa, Unique Farmland,,,,,,,,"125,083","125,496","126,916","124,796","123,319","121,186","120,315","120,880","120,344","118,180"
Colusa, Farmland of Local Importance,,,,,,,,"239,966","236,353","234,186","232,759","232,919","235,023","236,014","234,952","229,883","226,528"
Colusa,Important Farmland Subtotal,,,,,,,,"568,705","565,890","564,274","561,350","558,590","555,718","554,696","554,853","549,096","547,088"
Colusa, Grazing Land ,,,,,,,,"7,684","7,526","9,408","9,151","9,031","9,111","9,160","9,151","13,861","15,835"
Colusa,Agricultural Land Subtotal,,,,,,,,"576,389","573,416","573,682","570,501","567,621","564,829","563,856","564,004","562,957","562,923"
Colusa, Urban and Built-Up Land,,,,,,,,"4,293","4,259","4,431","4,624","4,878","5,111","5,142","5,158","5,227","5,347"
Colusa, Other Land,,,,,,,,"157,872","160,878","160,439","163,429","165,984","168,542","169,484","169,320","170,290","170,204"
Colusa, Water Area,,,,,,,,"1,838","1,838","1,838","1,838","1,911","1,911","1,911","1,911","1,911","1,911"
Colusa,Total Area Inventoried,,,,,,,,"740,392","740,391","740,390","740,392","740,394","740,393","740,393","740,393","740,385","740,385"
Contra Costa, Prime Farmland,"41,181","42,834","43,047","42,722","42,479","41,851","41,073","39,587","37,229","33,731","32,024","29,937","26,789","26,484","25,601","25,502","26,332"
Contra Costa, Farmland of Statewide Importance,"15,586","15,282","15,157","14,651","14,385","14,070","13,936","12,242","11,706","9,733","8,547","8,092","7,555","7,422","7,347","7,436","7,733"
Contra Costa, Unique Farmland,"8,350","8,651","8,854","8,808","8,762","7,854","6,709","6,650","5,430","4,450","3,929","3,588","3,125","3,203","3,012","3,543","3,392"
Contra Costa, Farmland of Local Importance,"51,031","49,398","46,804","46,006","44,218","45,053","46,645","47,836","47,929","53,136","52,257","52,070","53,449","53,039","52,907","52,431","60,416"
Contra Costa,Important Farmland Subtotal,"116,148","116,165","113,862","112,187","109,844","108,828","108,363","106,315","102,294","101,050","96,757","93,687","90,918","90,148","88,867","88,912","97,873"
Contra Costa, Grazing Land ,"185,292","182,907","180,557","178,875","177,155","174,895","174,078","173,041","172,053","171,924","168,783","168,661","168,904","168,647","167,796","167,567","157,701"
Contra Costa,Agricultural Land Subtotal,"301,440","299,072","294,419","291,062","286,999","283,723","282,441","279,356","274,347","272,974","265,540","262,348","259,822","258,795","256,663","256,479","255,574"
Contra Costa, Urban and Built-Up Land,"118,990","121,499","126,017","129,343","133,125","134,783","136,248","137,517","142,357","142,454","147,442","148,965","151,336","151,965","152,556","153,122","152,117"
Contra Costa, Other Land,"39,408","41,445","41,550","41,581","41,862","43,641","43,469","43,895","44,076","45,351","47,801","49,463","49,098","49,497","51,039","50,665","51,891"
Contra Costa, Water Area,"54,183","52,003","52,034","52,034","52,034","51,874","51,863","53,252","53,240","53,240","53,240","53,239","53,764","53,764","53,763","53,754","54,435"
Contra Costa,Total Area Inventoried ,"514,021","514,019","514,020","514,020","514,020","514,021","514,021","514,020","514,020","514,019","514,023","514,015","514,020","514,021","514,021","514,020","514,017"
El Dorado, Prime Farmland,"1,062","1,097","1,185","1,185","1,185","1,195","1,211","1,200",989,950,887,780,771,661,645,596,608
El Dorado, Farmland of Statewide Importance,826,857,917,914,940,996,"1,054","1,043",909,930,926,843,921,827,835,813,804
El Dorado, Unique Farmland,"3,748","4,055","4,325","4,363","4,390","4,386","4,520","4,620","4,680","4,413","4,338","3,782","3,766","3,205","3,227","3,217","3,141"
El Dorado, Farmland of Local Importance,"72,313","71,961","71,667","71,602","81,610","81,954","81,469","81,283","61,714","61,215","60,530","60,439","59,648","59,565","59,411","59,381","59,281"
El Dorado,Important Farmland Subtotal,"77,949","77,970","78,094","78,064","88,125","88,531","88,254","88,146","68,292","67,508","66,681","65,844","65,106","64,258","64,118","64,007","63,834"
El Dorado, Grazing Land ,"200,664","199,623","197,964","195,365","186,196","186,126","185,418","185,283","203,798","201,738","196,900","195,958","194,778","193,883","193,794","193,679","195,201"
El Dorado,Agricultural Land Subtotal,"278,613","277,593","276,058","273,429","274,321","274,657","273,672","273,429","272,090","269,246","263,581","261,802","259,884","258,141","257,912","257,686","259,035"
El Dorado, Urban and Built-Up Land,"19,803","21,131","23,008","23,779","24,295","24,339","25,360","25,690","26,132","28,557","30,670","31,359","32,194","32,268","32,320","32,485","32,806"
El Dorado, Other Land,"231,051","230,756","230,413","232,272","230,863","230,515","230,479","230,404","231,361","231,780","235,332","236,426","237,507","239,020","239,197","239,267","237,594"
El Dorado, Water Area,"6,937","6,924","6,924","6,924","6,924","6,893","6,893","6,880","6,819","6,819","6,820","6,819","6,819","6,973","6,973","6,973","6,973"
El Dorado,Total Area Inventoried,"536,404","536,404","536,403","536,404","536,403","536,404","536,404","536,403","536,402","536,402","536,404","536,406","536,404","536,402","536,402","536,411","536,408"
Fresno, Prime Farmland,,,,,,,,,"734,052","731,936","722,584","713,085","693,174","685,410","683,925","678,103","675,722"
Fresno, Farmland of Statewide Importance,,,,,,,,,"491,569","490,266","483,786","478,729","439,020","415,688","411,483","404,083","397,134"
Fresno, Unique Farmland,,,,,,,,,"104,223","102,232","100,316","98,090","94,177","92,651","92,927","93,653","94,902"
Fresno, Farmland of Local Importance ,,,,,,,,,"70,691","74,357","84,857","95,534","149,907","176,522","179,654","191,341","191,782"
Fresno,Important Farmland Subtotal,,,,,,,,,"1,400,535","1,398,791","1,391,543","1,385,438","1,376,278","1,370,271","1,367,989","1,367,180","1,359,540"
Fresno, Grazing Land ,,,,,,,,,"835,870","835,123","834,254","827,114","826,953","825,752","825,548","825,276","822,697"
Fresno,Agricultural Land Subtotal,,,,,,,,,"2,236,405","2,233,914","2,225,797","2,212,552","2,203,231","2,196,023","2,193,537","2,192,456","2,182,237"
Fresno, Urban and Built-Up Land,,,,,,,,,"104,934","107,535","110,899","115,366","117,567","120,753","122,726","124,025","128,910"
Fresno, Other Land,,,,,,,,,"95,365","95,256","100,013","108,782","111,702","115,722","116,235","116,094","121,445"
Fresno, Water Area,,,,,,,,,"4,911","4,911","4,911","4,912","4,914","4,914","4,914","4,915","4,908"
Fresno,Total Area Inventoried,,,,,,,,,"2,441,615","2,441,616","2,441,620","2,441,612","2,437,414","2,437,412","2,437,412","2,437,490","2,437,500"
Glenn, Prime Farmland,"169,238","170,959","172,970","172,995","172,865","171,823","171,102","168,455","166,549","163,628","162,671","161,683","159,811","157,940","157,877","157,781","158,117"
Glenn, Farmland of Statewide Importance,"89,089","89,711","91,143","91,102","91,083","90,633","89,678","88,637","87,784","88,891","88,374","87,868","87,497","87,070","86,962","87,939","88,669"
Glenn, Unique Farmland,"9,903","10,155","11,969","12,354","12,228","11,621","11,698","11,075","11,608","16,539","16,591","17,470","17,306","17,301","17,358","17,625","18,030"
Glenn, Farmland of Local Importance,"143,850","142,043","136,761","133,483","133,750","135,331","136,421","139,989","141,965","77,613","78,717","80,290","83,544","85,838","85,388","83,687","82,836"
Glenn,Important Farmland Subtotal,"412,080","412,868","412,843","409,934","409,926","409,408","408,899","408,156","407,906","346,671","346,353","347,311","348,158","348,149","347,585","347,032","347,652"
Glenn, Grazing Land ,"174,130","173,494","174,102","176,519","176,312","176,103","176,204","176,297","176,072","232,411","231,716","229,191","227,391","226,836","226,776","227,118","227,081"
Glenn,Agricultural Land Subtotal,"586,210","586,362","586,945","586,453","586,238","585,511","585,103","584,453","583,978","579,082","578,069","576,502","575,549","574,985","574,361","574,150","574,733"
Glenn, Urban and Built-Up Land,"5,133","5,144","5,163","5,274","5,321","5,369","5,360","5,379","5,608","5,942","6,079","6,313","6,372","6,420","6,435","6,450","6,501"
Glenn, Other Land,"253,556","253,392","252,791","253,172","253,339","252,130","252,547","253,281","253,784","258,346","259,220","260,364","261,258","261,774","262,383","262,604","261,971"
Glenn, Water Area ,"4,229","4,229","4,229","4,229","4,229","6,117","6,117","6,016","5,759","5,759","5,759","5,950","5,950","5,950","5,950","5,928","5,928"
Glenn,Total Area Inventoried ,"849,128","849,127","849,128","849,128","849,127","849,127","849,127","849,129","849,129","849,129","849,127","849,129","849,129","849,129","849,129","849,132","849,133"
Imperial, Prime Farmland ,"213,957","213,355","214,481","214,647","213,715","202,011","200,234","199,707","199,594","198,123","196,928","196,176","195,588","194,136","192,951","190,588","190,205"
Imperial, Farmland of Statewide Importance,"318,162","318,315","318,365","317,758","316,193","323,254","321,732","319,372","319,273","315,457","313,218","311,645","311,047","307,221","305,614","297,557","297,272"
Imperial, Unique Farmland,895,871,832,783,717,622,591,592,582,"2,978","2,133","2,281","2,197","2,141","2,074","1,971","2,070"
Imperial, Farmland of Local Importance,"29,118","29,789","27,354","26,449","26,538","30,334","33,031","35,218","35,515","33,603","33,333","33,036","32,109","35,773","37,687","40,402","38,924"
Imperial,Important Farmland Subtotal,"562,132","562,330","561,032","559,637","557,163","556,221","555,588","554,889","554,964","550,161","545,612","543,138","540,941","539,271","538,326","530,518","528,471"
Imperial, Grazing Land ,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Imperial,Agricultural Land Subtotal,"562,132","562,330","561,032","559,637","557,163","556,221","555,588","554,889","554,964","550,161","545,612","543,138","540,941","539,271","538,326","530,518","528,471"
Imperial, Urban and Built-Up Land,"20,674","19,442","19,196","20,385","22,355","23,067","23,498","23,952","24,318","25,171","26,358","26,897","27,709","28,487","28,790","35,592","37,413"
Imperial, Other Land,"445,386","446,468","448,010","448,146","448,648","448,643","448,762","448,743","448,371","452,321","455,698","457,510","458,829","460,001","460,643","461,664","461,892"
Imperial, Water Area,376,328,328,400,400,635,718,985,914,914,902,"1,022","1,029",749,749,749,749
Imperial,Total Area Inventoried,"1,028,568","1,028,568","1,028,566","1,028,568","1,028,566","1,028,566","1,028,566","1,028,569","1,028,567","1,028,567","1,028,570","1,028,567","1,028,508","1,028,508","1,028,508","1,028,523","1,028,525"
Kern, Prime Farmland,,,,,,,,,,,"643,128","640,037","626,217","608,790","597,771","585,035","579,295"
Kern, Farmland of Statewide Importance,,,,,,,,,,,"214,705","214,848","216,347","213,463","212,867","209,563","209,484"
Kern, Unique Farmland,,,,,,,,,,,"109,318","107,295","96,657","91,830","89,694","90,107","91,323"
Kern, Farmland of Local Importance,,,,,,,,,,,0,0,0,0,0,0,0
Kern,Important Farmland Subtotal,,,,,,,,,,,"967,151","962,180","939,221","914,083","900,332","884,705","880,102"
Kern, Grazing Land ,,,,,,,,,,,"1,791,467","1,792,926","1,807,069","1,827,390","1,843,605","1,847,615","1,849,266"
Kern,Agricultural Land Subtotal,,,,,,,,,,,"2,758,618","2,755,106","2,746,290","2,741,473","2,743,937","2,732,320","2,729,368"
Kern, Urban and Built-Up Land,,,,,,,,,,,"121,828","129,339","138,696","141,897","143,726","151,595","159,179"
Kern, Other Land,,,,,,,,,,,"2,331,095","2,327,121","2,329,396","2,330,998","2,326,719","2,330,521","2,325,914"
Kern, Water Area,,,,,,,,,,,"9,842","9,811","9,880","9,890","9,876","9,874","9,853"
Kern,Total Area Inventoried ,,,,,,,,,,,"5,221,383","5,221,377","5,224,262","5,224,258","5,224,258","5,224,310","5,224,314"
King, Prime Farmland,"149,508","148,548","148,192","147,203","145,278","144,386","142,578","142,528","141,213","140,876","140,582","138,519","138,089","130,258","118,451","112,255","110,915"
King, Farmland of Statewide Importance,"466,040","459,053","459,482","454,745","446,183","444,900","433,873","429,172","430,760","431,338","429,773","418,751","397,065","388,891","376,878","365,024","339,020"
King, Unique Farmland,"27,340","26,247","26,863","26,712","25,607","25,227","24,772","24,496","28,450","28,313","28,523","25,336","22,928","21,802","19,863","19,219","18,920"
King, Farmland of Local Importance,0,0,0,0,"4,819","5,204","5,778","6,512","6,851","7,565","8,283","8,852","10,022","11,136","11,152","11,035","10,984"
King,Important Farmland Subtotal,"642,888","633,848","634,537","628,660","621,887","619,717","607,001","602,708","607,274","608,092","607,161","591,458","568,104","552,087","526,344","507,533","479,839"
King, Grazing Land ,"223,340","229,030","221,840","223,885","231,213","233,551","243,773","244,174","238,485","236,583","233,493","235,156","257,746","271,830","295,814","313,864","338,243"
King,Agricultural Land Subtotal,"866,228","862,878","856,377","852,545","853,100","853,268","850,774","846,882","845,759","844,675","840,654","826,614","825,850","823,917","822,158","821,397","818,082"
King, Urban and Built-Up Land,"16,165","18,455","24,074","25,664","26,799","26,386","27,227","28,244","28,938","29,795","30,767","31,611","32,220","35,847","36,640","37,194","40,075"
King, Other Land,"8,273","9,334","10,215","12,458","10,768","11,056","12,719","15,594","16,018","16,245","19,297","32,496","32,654","30,959","31,938","32,145","32,579"
King, Water Area,119,119,119,119,119,75,65,66,66,66,66,62,62,62,62,62,62
King,Total Area Inventoried ,"890,785","890,786","890,785","890,786","890,786","890,785","890,785","890,786","890,781","890,781","890,784","890,783","890,786","890,785","890,798","890,798","890,798"
Lake, Prime Farmland,,,,,,,"17,121","16,720","15,677","15,547","15,463","14,301","13,636","11,604","10,773","10,127","10,085"
Lake, Farmland of Statewide Importance,,,,,,,"1,415","1,408","1,399","1,432","1,432","1,222","1,099",846,814,827,918
Lake, Unique Farmland,,,,,,,"8,068","9,216","12,235","12,082","11,999","11,711","11,772","11,084","11,019","11,207","11,662"
Lake, Farmland of Local Importance,,,,,,,"18,812","18,951","19,450","19,418","19,468","20,815","21,012","22,392","23,145","23,670","23,261"
Lake,Important Farmland Subtotal,,,,,,,"45,416","46,295","48,761","48,479","48,362","48,049","47,519","45,926","45,751","45,831","45,926"
Lake, Grazing Land ,,,,,,,"245,263","243,171","240,790","239,981","240,001","240,371","239,765","239,874","239,883","239,724","240,207"
Lake,Agricultural Land Subtotal,,,,,,,"290,679","289,466","289,551","288,460","288,363","288,420","287,284","285,800","285,634","285,555","286,133"
Lake, Urban and Built-Up Land,,,,,,,"12,793","13,451","13,529","14,433","14,443","14,803","15,126","15,687","15,719","15,743","15,758"
Lake, Other Land,,,,,,,"501,024","501,273","501,108","501,295","501,385","500,968","501,636","502,560","502,676","502,729","502,097"
Lake, Water Area,,,,,,,"46,486","46,793","46,793","46,793","46,793","46,793","46,793","46,793","46,811","46,811","46,851"
Lake,Total Area Inventoried,,,,,,,"850,982","850,983","850,981","850,981","850,984","850,984","850,839","850,840","850,840","850,838","850,839"
Los Angeles, Prime Farmland,"40,059","29,146","29,472","22,501","23,974","24,244","24,355","24,632","28,796","32,187","33,218","32,611","32,406","30,876","27,733","25,427","22,613"
Los Angeles, Farmland of Statewide Importance,"1,017",884,884,925,935,982,977,991,994,939,"1,029","1,024","1,228",952,841,826,770
Los Angeles, Unique Farmland,426,682,728,708,743,766,871,933,978,"1,155","1,119","1,024","1,177","1,131","1,088","1,066",962
Los Angeles, Farmland of Local Importance,"19,375","29,012","28,897","30,706","30,908","30,612","30,680","30,736","29,849","8,171","8,684","8,975","7,193","6,855","5,671","3,964","3,045"
Los Angeles,Important Farmland Subtotal,"60,877","59,724","59,981","54,840","56,560","56,604","56,883","57,292","60,617","42,452","44,050","43,634","42,004","39,814","35,333","31,283","27,390"
